Дата;Номер;Сумма;Статус;Примечание;Комментарий;Контрагент;ИНН/КПП;Организация;ИНН/КПП;Тип документа;Имя файла;Дата;Номер;Сумма;Сумма НДС;Ответственный;Подразделение;Код;Дата;Время;Тип пакета;Идентификатор пакета;Запущено в обработку;Получено контрагентом;Завершено;Увеличение суммы;НДС;Уменьшение суммы;НДС
09.12.2020;10323511-30;653,48;Выполнение завершено успешно;;"Интернет заказ: MA-18935386; Интернет заказ: MA-18935386";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_ddae7da4-5bf1-46b5-8091-711c70cdacfa.xml;09.12.2020;10323511-30;653,48;59,41;;Аптека №6;8;09.12.2020;10:04:28;ДокОтгрВх;0eef9eb5-55bf-4051-ae94-a61f319ae03a;;;;0;0;0;0
09.12.2020;10323511-30;0;Выполнение завершено успешно;;"Интернет заказ: MA-18935386; Интернет заказ: MA-18935386";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_18d02385-532e-42ba-9467-b6bf4c67c4f1.xml;;;0;0;;Аптека №6;8;09.12.2020;10:04:28;ДокОтгрВх;0eef9eb5-55bf-4051-ae94-a61f319ae03a;;;;0;0;0;0
09.12.2020;10323429-30;1 033,54;Выполнение завершено успешно;;"Интернет заказ: MA-18932622; Интернет заказ: MA-18932622";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_ccb6ee76-5c48-4c80-80fe-2334f9e9e0e7.xml;09.12.2020;10323429-30;1 033,54;172,26;;Аптека №7;9;09.12.2020;9:58:34;ДокОтгрВх;2a68fa99-3ad9-496b-a5e4-ae1f7fef499a;09.12.2020 9:58;09.12.2020 9:59;10.12.2020 10:24;0;0;0;0
09.12.2020;10323429-30;1 033,54;Выполнение завершено успешно;;"Интернет заказ: MA-18932622; Интернет заказ: MA-18932622";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_d88c6d53-e558-4de2-9c04-ac0f1b1bd9d8.xml;09.12.2020;10323429-30;1 033,54;172,26;;Аптека №7;9;09.12.2020;9:58:34;ДокОтгрВх;2a68fa99-3ad9-496b-a5e4-ae1f7fef499a;;;;0;0;0;0
09.12.2020;10323429-30;0;Выполнение завершено успешно;;"Интернет заказ: MA-18932622; Интернет заказ: MA-18932622";"Филиал АО НПК ""Катрен"" в г. Химки";5408130693 / 504743001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_2BE911035223f7011e2addf005056917125_2BE943258b29b7711e2aba7005056917125_20201209_db0116d6-7b04-4e0d-b4b9-9f67f51434b6.xml;;;0;0;;Аптека №7;9;09.12.2020;9:58:34;ДокОтгрВх;2a68fa99-3ad9-496b-a5e4-ae1f7fef499a;;;;0;0;0;0
09.12.2020;144541219-001;2 597,89;Выполнение завершено успешно;;Интернет-заказ № 5984157;"Фирма ЦВ ""ПРОТЕК"", ЗАО";7724053916 / 997350001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE22837a907f4a41a0b38f6ecd4ffd1c74_20201209_c961b4d9-8b5c-42e4-941c-2388661292b7.xml;09.12.2020;144541219-001;2 597,89;236,16;;Аптека №2;6;09.12.2020;8:30:46;ДокОтгрВх;73808f61-3280-4bbc-b881-73aa86e5f446;09.12.2020 8:30;09.12.2020 8:33;09.12.2020 12:49;0;0;0;0
09.12.2020;144541219-001;2 597,89;Выполнение завершено успешно;;Интернет-заказ № 5984157;"Фирма ЦВ ""ПРОТЕК"", ЗАО";7724053916 / 997350001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE22837a907f4a41a0b38f6ecd4ffd1c74_20201209_719e38b3-84f8-4063-afd5-a39e2f6d737d.xml;09.12.2020;144541219-001;2 597,89;236,16;;Аптека №2;6;09.12.2020;8:30:46;ДокОтгрВх;73808f61-3280-4bbc-b881-73aa86e5f446;;;;0;0;0;0
09.12.2020;144541219-001;0;Выполнение завершено успешно;;Интернет-заказ № 5984157;"Фирма ЦВ ""ПРОТЕК"", ЗАО";7724053916 / 997350001;ООО Рога и Копыта;4025419873 / 402501001;ПротЦен;Протокол согласования цен №144541219-001 от 09-12-2020.xml;09.12.2020;;0;0;;Аптека №2;6;09.12.2020;8:30:46;ДокОтгрВх;73808f61-3280-4bbc-b881-73aa86e5f446;;;;0;0;0;0
09.12.2020;144541219-001;0;Выполнение завершено успешно;;Интернет-заказ № 5984157;"Фирма ЦВ ""ПРОТЕК"", ЗАО";7724053916 / 997350001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;Реестр сертификатов №144541219-001 от 09-12-2020.xml;;;0;0;;Аптека №2;6;09.12.2020;8:30:46;ДокОтгрВх;73808f61-3280-4bbc-b881-73aa86e5f446;;;;0;0;0;0
09.12.2020;144542153-001;1 144,00;Выполнение завершено успешно;;Интернет-заказ № 5985010;"Фирма ЦВ ""ПРОТЕК"", ЗАО";7724053916 / 997350001;ООО Рога и Копыта;4025419873 / 402501001;УпдДоп;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE22837a907f4a41a0b38f6ecd4ffd1c74_20201209_73a40167-1041-4dee-8212-86450cda463e.xml;09.12.2020;144542153-001;1 144,00;104;;Аптека №4;7;09.12.2020;8:30:46;ДокОтгрВх;ce7e59e5-6aae-406e-8e8f-cc3cf710fb67;09.12.2020 8:30;09.12.2020 8:33;09.12.2020 12:49;0;0;0;0
